en,ko
Team Aqua's Lanturn,아쿠아단의 랜턴
Team Aqua's Manectric,아쿠아단의 썬더볼트
Team Aqua's Mightyena,아쿠아단의 그라에나
Team Aqua's Muk,아쿠아단의 질뻐기
Team Aqua's Poochyena,아쿠아단의 포챠나
Team Aqua's Sealeo,아쿠아단의 씨레오
Team Aqua's Seviper,아쿠아단의 세비퍼
Team Aqua's Sharpedo,아쿠아단의 샤크니아
Team Aqua's Spheal,아쿠아단의 대굴레오
Team Aqua's Walrein,아쿠아단의 씨카이저
Team Magma's Aggron,마그마단의 보스로라
Team Magma's Aron,마그마단의 가보리
Team Magma's Baltoy,마그마단의 오뚝군
Team Magma's Camerupt,마그마단의 폭타
Team Magma's Claydol,마그마단의 점토도리
Team Magma's Groudon,마그마단의 그란돈
Team Magma's Groudon EX,마그마단의 그란돈 EX
Team Magma's Houndoom,마그마단의 헬가
Team Magma's Houndour,마그마단의 델빌
Team Magma's Lairon,마그마단의 갱도라
Team Magma's Mightyena,마그마단의 그라에나
Team Magma's Numel,마그마단의 둔타
Team Magma's Poochyena,마그마단의 포챠나
Team Magma's Rhydon,마그마단의 코뿌리
Team Magma's Rhyhorn,마그마단의 뿔카노
Team Magma's Torkoal,마그마단의 코터스
Team Magma's Zangoose,마그마단의 쟝고
Team Rocket's Ampharos,로켓단의 전룡
Team Rocket's Arbok,로켓단의 아보크
Team Rocket's Articuno,로켓단의 프리져
Team Rocket's Blipbug,로켓단의 두루지벌레
Team Rocket's Chingling,로켓단의 랑딸랑
Team Rocket's Crobat ex,로켓단의 크로뱃 ex
Team Rocket's Dottler,로켓단의 레돔벌레
Team Rocket's Drowzee,로켓단의 슬리프
Team Rocket's Ekans,로켓단의 아보
Team Rocket's Flaaffy,로켓단의 보송송
Team Rocket's Golbat,로켓단의 골뱃
Team Rocket's Grimer,로켓단의 질퍽이
Team Rocket's Houndoom,로켓단의 헬가
Team Rocket's Houndour,로켓단의 델빌
Team Rocket's Hypno,로켓단의 슬리퍼
Team Rocket's Koffing,로켓단의 또가스
Team Rocket's Larvitar,로켓단의 애버라스
Team Rocket's Mareep,로켓단의 메리프
Team Rocket's Meowth,로켓단의 나옹
Team Rocket's Mewtwo ex,로켓단의 뮤츠 ex
Team Rocket's Mimikyu,로켓단의 따라큐
Team Rocket's Moltres ex,로켓단의 파이어 ex
Team Rocket's Muk,로켓단의 질뻐기
Team Rocket's Murkrow,로켓단의 니로우
Team Rocket's Nidoking ex,로켓단의 니드킹 ex
Team Rocket's Nidoqueen,로켓단의 니드퀸
Team Rocket's Nidoran♀,로켓단의 니드런♀
Team Rocket's Nidoran♂,로켓단의 니드런♂
Team Rocket's Nidorina,로켓단의 니드리나
Team Rocket's Nidorino,로켓단의 니드리노
Team Rocket's Orbeetle,로켓단의 이올브
Team Rocket's Persian ex,로켓단의 페르시온 ex
Team Rocket's Porygon,로켓단의 폴리곤
Team Rocket's Porygon-Z,로켓단의 폴리곤Z
Team Rocket's Porygon2,로켓단의 폴리곤2
Team Rocket's Pupitar,로켓단의 데기라스
Team Rocket's Raticate,로켓단의 레트라
Team Rocket's Rattata,로켓단의 꼬렛
Team Rocket's Sneasel,로켓단의 포푸니
Team Rocket's Spidops,로켓단의 트래피더
Team Rocket's Tarountula,로켓단의 타랜툴라
Team Rocket's Tyranitar,로켓단의 마기라스
Team Rocket's Weezing,로켓단의 또도가스
Team Rocket's Wobbuffet,로켓단의 마자용
Team Rocket's Zapdos,로켓단의 썬더
Team Rocket's Zubat,로켓단의 주뱃
Teddiursa,깜지곰
Tentacool,왕눈해
Tentacruel,독파리
Tepig,뚜꾸리
Terapagos,테라파고스
Terapagos & Friends,테라파고스 & 친구들
Terapagos ex,테라파고스 ex
Terrakion,테라키온
Terrakion-EX,테라키온-EX
Thievul,폭슬라이
Throh,던지미
Thundurus,볼트로스
Thundurus EX,볼트로스 EX
Thundurus GX,볼트로스 GX
Thundurus-EX,볼트로스-EX
Thwackey,채키몽
Timburr,으랏차
Ting-Lu,딩루
Ting-Lu ex,딩루 ex
Tinkatink,어리짱
Tinkaton,두드리짱
Tinkaton ex,두드리짱 ex
Tinkatuff,벼리짱
Tirtouga,프로토가
Toedscool,들눈해
Toedscruel,육파리
Toedscruel ex,육파리 ex
Togedemaru,토게데마루
Togedemaru ex,토게데마루 ex
Togekiss,토게키스
Togekiss C,토게키스 C
Togekiss EX,토게키스 EX
Togekiss V,토게키스 V
Togekiss VMAX,토게키스 VMAX
Togepi,토게피
Togepi & Cleffa & Igglybuff GX,토게피 & 삐 & 푸푸린 GX
Togepi δ,토게피 δ
Togetic,토게틱
Togetic δ,토게틱 δ
Torchic,아차모
Torchic ☆,아차모 ☆
Torkoal,코터스
Torkoal V,코터스 V
Tornadus,토네로스
Tornadus GX,토네로스 GX
Tornadus V,토네로스 V
Tornadus VMAX,토네로스 VMAX
Tornadus-EX,토네로스-EX
Torracat,냐오히트
Torterra,토대부기
Torterra ex,토대부기 ex
Totodile,리아코
Totodile δ,리아코 δ
Toucannon,왕큰부리
Toxapex,더시마사리
Toxapex GX,더시마사리 GX
Toxel,일레즌
Toxicroak,독개굴
Toxicroak ex,독개굴 ex
Toxicroak EX,독개굴 EX
Toxicroak G,독개굴 G
Toxtricity,스트린더
Toxtricity ex,스트린더 ex
Toxtricity V,스트린더 V
Toxtricity VMAX,스트린더 VMAX
Tranquill,유토브
Trapinch,톱치
Trapinch δ,톱치 δ
Treecko,나무지기
Treecko ☆,나무지기 ☆
Treecko δ,나무지기 δ
Trevenant,대로트
Trevenant & Dusknoir GX,대로트 & 야느와르몽 GX
Trevenant BREAK,대로트 BREAK
Trevenant EX,대로트 EX
Trevenant V,대로트 V
Trevenant VMAX,대로트 VMAX
Tropius,트로피우스
Tropius δ,트로피우스 δ
Trubbish,깨봉이
Trumbeak,크라파
Tsareena,달코퀸
Tsareena ex,달코퀸 ex
Tsareena GX,달코퀸 GX
Tsareena V,달코퀸 V
Turtonator,폭거북스
Turtonator GX,폭거북스 GX
Turtonator-GX,폭거북스-GX
Turtwig,모부기
Turtwig GL,모부기 GL
Tympole,동챙이
Tynamo,저리어
Typhlosion,블레이범
Typhlosion ex,블레이범 ex
Typhlosion δ,블레이범 δ
Tyranitar,마기라스
Tyranitar ex,마기라스 ex
Tyranitar EX,마기라스 EX
Tyranitar ex δ,마기라스 ex δ
Tyranitar GX,마기라스 GX
Tyranitar V,마기라스 V
Tyranitar δ,마기라스 δ
Tyrantrum,견고라스
Tyrantrum EX,견고라스 EX
Tyrogue,배루키
Tyrunt,티고라스
Ultra Necrozma,울트라 네크로즈마
Ultra Necrozma ex,울트라 네크로즈마 ex
Ultra Necrozma GX,울트라 네크로즈마 GX
Umbreon,블래키
Umbreon & Darkrai GX,블래키 & 다크라이 GX
Umbreon ★,블래키 ★
Umbreon ☆,블래키 ☆
Umbreon ex,블래키 ex
Umbreon EX,블래키 EX
Umbreon GX,블래키 GX
Umbreon V,블래키 V
Umbreon VMAX,블래키 VMAX
Umbreon δ,블래키 δ
Umbreon-GX,블래키-GX
Unfezant,켄호로우
Unown,안농
Unown !,안농 !
Unown ?,안농 ?
Unown [A],안농 [A]
Unown [B],안농 [B]
Unown [C],안농 [C]
Unown [D],안농 [D]
Unown [E],안농 [E]
Unown [F],안농 [F]
Unown [G],안농 [G]
Unown [H],안농 [H]
Unown [I],안농 [I]
Unown [J],안농 [J]
Unown [K],안농 [K]
Unown [L],안농 [L]
Unown [M],안농 [M]
Unown [N],안농 [N]
Unown [O],안농 [O]
Unown [P],안농 [P]
Unown [Q],안농 [Q]
Unown [S],안농 [S]
Unown [T],안농 [T]
Unown [U],안농 [U]
Unown [V],안농 [V]
Unown [W],안농 [W]
Unown [X],안농 [X]
Unown [Y],안농 [Y]
Unown [Z],안농 [Z]
Unown A,안농 A
Unown B,안농 B
Unown C,안농 C
Unown D,안농 D
Unown E,안농 E
Unown F,안농 F
Unown G,안농 G
Unown H,안농 H
Unown I,안농 I
Unown J,안농 J
Unown K,안농 K
Unown L,안농 L
Unown M,안농 M
Unown N,안농 N
Unown O,안농 O
Unown P,안농 P
Unown Q,안농 Q
Unown R,안농 R
Unown S,안농 S
Unown T,안농 T
Unown U,안농 U
Unown V,안농 V
Unown VSTAR,안농 VSTAR
Unown W,안농 W
Unown X,안농 X
Unown Y,안농 Y
Unown Z,안농 Z
Ursaluna,다투곰
Ursaluna V,다투곰 V
Ursaring,링곰
Uxie,유크시
Vanillish,바닐리치
Vanillite,바닐프티
Vanilluxe,배바닐라
Vaporeon,샤미드
Vaporeon ☆,샤미드 ☆
Vaporeon ex,샤미드 ex
Vaporeon EX,샤미드 EX
Vaporeon GX,샤미드 GX
Vaporeon V,샤미드 V
Vaporeon VMAX,샤미드 VMAX
Vaporeon δ,샤미드 δ
Varoom,부르롱
Veluza,가비루사
Veluza ex,가비루사 ex
Venipede,마디네
Venomoth,도나리
Venomoth GX,도나리 GX
Venonat,콘팡
Venusaur,이상해꽃
Venusaur & Snivy GX,이상해꽃 & 주리비얀 GX
Venusaur ex,이상해꽃 ex
Venusaur EX,이상해꽃 EX
Venusaur V,이상해꽃 V
Venusaur VMAX,이상해꽃 VMAX
Vespiquen,비퀸
Vespiquen E4,비퀸 E4
Vespiquen ex,비퀸 ex
Vibrava,비브라바
Vibrava δ,비브라바 δ
Victini,비크티니
Victini ◇,비크티니 ◇
Victini ex,비크티니 ex
Victini V,비크티니 V
Victini VMAX,비크티니 VMAX
Victini-EX,비크티니-EX
Victreebel,우츠보트
Vigoroth,발바로
Vikavolt,투구뿌논
Vikavolt GX,투구뿌논 GX
Vikavolt V,투구뿌논 V
Vileplume,라플레시아
Vileplume ex,라플레시아 ex
Vileplume GX,라플레시아 GX
Vileplume δ,라플레시아 δ
Virizion,비리디온
Virizion GX,비리디온 GX
Virizion V,비리디온 V
Virizion-EX,비리디온-EX
Vivillon,비비용
Volbeat,볼비트
Volcanion,볼케니온
Volcanion ◇,볼케니온 ◇
Volcanion ex,볼케니온 ex
Volcanion EX,볼케니온 EX
Volcanion V,볼케니온 V
Volcarona,불카모스
Volcarona GX,불카모스 GX
Volcarona V,불카모스 V
Voltorb,찌리리공
Voltorb ex,찌리리공 ex
Vullaby,벌차이
Vulpix,식스테일
Vulpix δ,식스테일 δ
Wailmer,고래왕자
Wailord,고래왕
Wailord ex,고래왕 ex
Wailord EX,고래왕 EX
Wailord V,고래왕 V
Walking Wake,굽이치는물결
Walking Wake ex,굽이치는물결 ex
Walrein,씨카이저
Walrein ex,씨카이저 ex
Wartortle,어니부기
Wash Rotom,워시로토무
Watchog,보르그
Water Gun,Water Gun
Water Pulse,Water Pulse
Wattrel,찌리비
Weavile,포푸니라
Weavile ex,포푸니라 ex
Weavile G,포푸니라 G
Weavile GX,포푸니라 GX
Weedle,뿔충이
Weepinbell,우츠동
Weezing,또도가스
Wellspring Mask Ogerpon,오거폰 우물의 가면
Wellspring Mask Ogerpon ex,오거폰 우물의 가면 ex
Whimsicott,엘풍
Whimsicott ex,엘풍 ex
Whimsicott GX,엘풍 GX
Whimsicott V,엘풍 V
Whimsicott VSTAR,엘풍 VSTAR
Whirlipede,휠구
Whiscash,메깅
Whiscash E4,메깅 E4
Whismur,소곤룡
White Kyurem,화이트 큐레무
White Kyurem GX,화이트 큐레무 GX
White Kyurem-EX,화이트 큐레무-EX
Wigglytuff,푸크린
Wigglytuff ex,푸크린 ex
Wigglytuff GX,푸크린 GX
Wiglett,바다그다
Wimpod,꼬시레
Wingull,갈모매
Wishiwashi,약어리
Wishiwashi ex,약어리 ex
Wishiwashi GX,약어리 GX
Withdraw,Withdraw
Wo-Chien,총지엔
Wo-Chien ex,총지엔 ex
Wobbuffet,마자용
Wobbuffet BREAK,마자용 BREAK
Wobbuffet V,마자용 V
Woobat,또르박쥐
Wooloo,우르
Wooper,우파
Wooper δ,우파 δ
Wormadam,도롱마담
Wormadam Plant Cloak,도롱마담 Plant Cloak
Wormadam Sandy Cloak,도롱마담 Sandy Cloak
Wormadam Trash Cloak,도롱마담 Trash Cloak
Wrap,Wrap
Wugtrio,바닥트리오
Wugtrio ex,바닥트리오 ex
Wurmple,개무소
Wynaut,마자
Wyrdeer,신비록
Wyrdeer V,신비록 V
Xatu,네이티오
Xatu δ,네이티오 δ
Xerneas,제르네아스
Xerneas ◇,제르네아스 ◇
Xerneas BREAK,제르네아스 BREAK
Xerneas ex,제르네아스 ex
Xerneas EX,제르네아스 EX
Xerneas GX,제르네아스 GX
Xurkitree,전수목
Xurkitree GX,전수목 GX
Xurkitree-GX,전수목-GX
Yamask,데스마스
Yamper,멍파치
Yanma,왕자리
Yanmega,메가자리
Yanmega BREAK,메가자리 BREAK
Yanmega E4,메가자리 E4
Yanmega ex,메가자리 ex
Yawn,Yawn
Yungoos,영구스
Yveltal,이벨타르
Yveltal BREAK,이벨타르 BREAK
Yveltal ex,이벨타르 ex
Yveltal EX,이벨타르 EX
Yveltal GX,이벨타르 GX
Yveltal-EX,이벨타르-EX
Zacian,자시안
Zacian ex,자시안 ex
Zacian V,자시안 V
Zacian V-UNION,자시안 V-UNION
Zacian VSTAR,자시안 VSTAR
Zamazenta,자마젠타
Zamazenta V,자마젠타 V
Zamazenta VSTAR,자마젠타 VSTAR
Zangoose,쟝고
Zangoose ex,쟝고 ex
Zangoose δ,쟝고 δ
Zapdos,썬더
Zapdos ex,썬더 ex
Zapdos G,썬더 G
Zapdos-EX,썬더-EX
Zarude,자루도
Zarude V,자루도 V
Zebstrika,제브라이카
Zekrom,제크로무
Zekrom ex,제크로무 ex
Zekrom GX,제크로무 GX
Zekrom-EX,제크로무-EX
Zeraora,제라오라
Zeraora GX,제라오라 GX
Zeraora V,제라오라 V
Zeraora VMAX,제라오라 VMAX
Zeraora VSTAR,제라오라 VSTAR
Zigzagoon,지그제구리
Zoroark,조로아크
Zoroark BREAK,조로아크 BREAK
Zoroark GX,조로아크 GX
Zorua,조로아
Zubat,주뱃
Zweilous,디헤드
Zygarde,지가르데
Zygarde EX,지가르데 EX
Zygarde GX,지가르데 GX
Zygarde-EX,지가르데-EX
Zygarde-GX,지가르데-GX
ナッシー[Exeggutor],ナッシー[나시]
Aaron's Collection,충호의 컬렉션
Academy at Night,밤의 아카데미
Accompanying Flute,향연피리
Ace Trainer,엘리트 트레이너
Acerola,아세로라
Acerola's Mischief,아세로라의 장난
Acerola's Premonition,아세로라의 예감
Acro Bike,더트자전거
Adaman,찬석
Adventure Bag,모험가방
Adventurer's Discovery,모험가의 발견
Adversity Policy,역경보험
Aerodactyl Spirit Link,프테라 소울링크
Aether Foundation Employee,에테르재단 직원
Aether Paradise Conservation Area,에테르파라다이스 보호구
Agatha,국화
Aggron Spirit Link,보스로라 소울링크
Air Balloon,풍선
Alakazam Spirit Link,후딘 소울링크
All-Night Party,올나이트파티
Allister,어니언
Alph Lithograph,알프의 석판
Altar of the Moone,월륜의 제단
Altar of the Sunne,일륜의 제단
Altaria Spirit Link,파비코리 소울링크
Amarys,네리네
Ampharos Spirit Link,전룡 소울링크
Amulet Coin,부적금화
Amulet of Hope,희망의 애뮬렛
Ancient Booster Energy Capsule,부스트에너지 고대
Ancient Crystal,고대의 크리스탈
Ancient Ruins,고대의 유적
Ancient Technical Machine [Ice],고대 기술머신 [빙설]
Ancient Technical Machine [Rock],고대 기술머신 [암석]
Ancient Technical Machine [Steel],고대 기술머신 [강철]
Ancient Tomb,고대의 무덤
Ange Floette,앙쥬 플라엣테
Anthea & Concordia,버베나와 헬레나
Antique Armor Fossil,오래된 방패의화석
Antique Cover Fossil,오래된 덮개화석
Antique Dome Fossil,오래된 껍질화석
Antique Helix Fossil,오래된 조개화석
Antique Jaw Fossil,오래된 턱화석
Antique Old Amber,오래된 비밀의호박
Antique Plume Fossil,오래된 깃털화석
Antique Root Fossil,오래된 뿌리화석
Antique Sail Fossil,오래된 지느러미화석
Antique Skull Fossil,오래된 두개의화석
Apricorn Forest,규토리숲
Apricorn Maker,규토리장인
Aqua Diffuser,아쿠아디퓨저
Aqua Patch,아쿠아패치
Arc Phone,아르세우스폰
Arcade Game,아케이드 게임
Archie,아강
Archie's Ace in the Hole,아강의 비장의카드
Area Zero Underdepths,제로의 대공동
Arezu,성화
Armor Fossil,방패의화석
Armor Fossil Shieldon,방패의화석 방패톱스
Aroma Lady,아로마 레이디
Artazon,보울마을
Arven,페퍼
Arven's Sandwich,페퍼의 샌드위치
Aspertia City Gym,부채시티 체육관
Assault Vest,돌격조끼
Atticus,추명
Audino Spirit Link,다부니 소울링크
Avery,세이버리
Awakening Drum,각성의 드럼
AZ,
AZ's Tranquility,AZ의 평온
Babiri Berry,바리비열매
Backtrack Badge,리트라이 배지
Ball Guy,볼가이
Balloon Berry,풍선열매
Barry,용식
Battle Cage,배틀케이지
Battle City,배틀시티
Battle Compressor Team Flare Gear,배틀컴프레서 [플레어단 기어]
Battle Frontier,배틀프런티어
Battle Reporter,배틀 리포터
Battle Tower,배틀타워
Battle VIP Pass,배틀VIP패스
Bea,채두
Beach Court,비치코트
Beast Ball,울트라볼
Beast Bringer,비스트브링거
Beast Ring,비스트링
Beast Wall,비스트월
Beastite,비스트나이트
Beauty,아가씨
Bebe's Search,이수진의 검색
Bede,비트
Beedrill Spirit Link,독침붕 소울링크
Beginning Door,시작의 문
Bellelba & Brycen-Man,주즈베&담죽맨
Bench Shield,벤치 실드
Bent Spoon,비튼스푼
Berry,나무열매
Bertha's Warmth,국화의 온기
Bianca,벨
Bianca's Devotion,벨의 진심
Bicycle,자전거
Big Air Balloon,커다란풍선
Big Charm,커다란부적
Big Malasada,큰 말라사다
Big Parasol,빅파라솔
Bill,이수재
Bill’s Analysis,이수재의 해석
Bill's Maintenance,이수재의 메인터넌스
Bill’s Maintenance,이수재의 메인터넌스
Bill's Teleporter,이수재의 전송
Bill's Transfer,이수재의 전송
Billowing Smoke,자욱한연기
Billy & O'Nare,빌리오&나리오
Binding Mochi,사슬떡
Bird Keeper,새조련사
Black Belt,태권왕
Black Belt's Training,태권왕의 수련
Black Market ◇,블랙마켓 ◇
Blacksmith,대장장이
Blaine,강연
Blaine's Gamble,강연의 도박
Blaine's Last Resort,강연의 최후의 수단
Blaine’s Last Stand,강연의 단판승부
Blaine's Quiz #1,강연의 퀴즈 #1
Blaine's Quiz #2,강연의 퀴즈 #2
Blaine's Quiz #3,강연의 퀴즈 #3
Blaine’s Quiz Show,강연의 퀴즈쇼
Blanche,블랑쉬
Blastoise Spirit Link,거북왕 소울링크
Blizzard Town,블리자드타운
Blowtorch,히트 버너
Blue,그린
Blue’s Tactics,그린의 전략
Blunder Policy,허탕보험
Bodybuilding Dumbbells,불끈불끈덤벨
Bonnie,유리카
Boost Shake,부쩍부쩍 셰이크
Boss's Orders,보스의 지령
Boss's Orders (Giovanni),보스의 지령(비주기)
Boss's Orders (Lysandre),보스의 지령(플라드리)
Box of Disaster,재앙의 상자
Boxed Order,주문박스
Brandon,기선
Brassius,콜사
Brave Bangle,브레이브뱅글
Bravery Charm,용기의부적
Brawly,철구
Briar,브라이어
Brigette,재인
Brilliant Blender,퍼펙트믹서
Brock,웅
Brock's Grit,웅의 근성
Brock’s Grit,웅의 근성
Brock’s Pewter City Gym,웅의 회색시티 체육관
Brock's Protection,웅이의 프로텍트
Brock's Scouting,웅의 스카우트
Brock’s Training,웅의 트레이닝
Brock's Training Method,웅이의 훈련법
Broken Ground Gym, Broken Ground Gym
Broken Time-Space,찢어진 시공
Brooklet Hill,잔잔한물가언덕
Bruno,시바
Bubble Coat,버블코트
Buck's Training,
Budding Expeditioner,신출내기 조사원
Buddy-Buddy Poffin,절친 포핀
Buddy-Buddy Rescue,버디버디 레스큐
Buff Padding,불끈불끈패드
Buffer Piece,
Bug Catcher,곤충채집소년
Bug Catching Set,곤충채집세트
Burning Scarf,불타는 스카프
Bursting Balloon,파열벌룬
Café Master,마스터
Caitlin,카틀레야
Calamitous Snowy Mountain,재앙의 설산
Calamitous Wasteland,재앙의 황야
Call Bell,도움벨
Camerupt Spirit Link,폭타 소울링크
Camping Gear,캠프세트
Canari,카나리
Canceling Cologne,캔슬코롱
Candela,칸델라
Candice,무청
Capacious Bucket,가득찬 양동이
Cape of Toughness,터프니스 망토
Captivating Poké Puff,
Capturing Aroma,캡처아로마
Cara Liss,모젤란
Card-Flip Game,
Caretaker,관리인
Carmine,시유
Cassiopeia,카시오페아
Cassius,크로케아
Castaway,
Cedric Juniper,주누운박사
Celadon City Gym,무지개시티 체육관
Celebratory Fanfare,축하 팡파레
Celestic Town Elder,봉신마을의 장로
Celio's Network,
Cerulean City Gym,블루시티 체육관
Cessation Crystal,
Challenge!,
Champion's Room,
Champions Festival,챔피언스 페스티벌
Championship Arena,
Channeler,주술사
Chaos Gym,
Chaos Tower,카오스타워
Chaotic Swell,혼돈의 너울
Charity,
Charizard Spirit Link,리자몽 소울링크
Charon's Choice,플루토의 선택
Cheerleader's Cheer,
Cheren,체렌
Cheren's Care,체렌의 배려심
Cherish Ball,프레셔스볼
Cheryl,모미
Chili & Cilan & Cress,팟과 덴트와 콘
Chill Teaser Toy,느긋풀
Chip-Chip Ice Axe,자박자박피켈
Choice Band,구애머리띠
Choice Belt,구애벨트
Choice Helmet,구애멧
Choy,경채
Cilan,덴트
Cinnabar City Gym,홍련체육관
Ciphermaniac's Codebreaking,암호마니아의 해독
Circhester Bath,키르쿠스 온천
Clavell,클라벨
Claw Fossil,발톱화석
Claw Fossil Anorith,발톱화석 아노딥스
Clay,야콘
Cleansing Gloves,내치기글러브
Clefairy Doll,삐삐인형
Clemont,시트론
Clemont's Backpack,시트론의 륙색
Clemont's Quick Wit,시트론의 재치
Clive,클라벨
Coach Trainer,코치 트레이너
Colbur Berry,마코열매
Collapsed Stadium,무너진 스타디움
Colress,아크로마
Colress Machine,아크로마머신
Colress's Experiment,아크로마의 실험
Colress's Tenacity,아크로마의 집념
Community Center,마을 회관
Computer Error,
Computer Search,컴퓨터통신
Conductive Quarry,
Cook,쿡
Copycat,흉내쟁이
Core Memory,코어 메모리
Counter Catcher,카운터 캐처
Counter Gain,카운터 게인
Counterattack Claws,
Cover Fossil,덮개화석
Cram-o-matic,윽우지로봇
Crasher Wake,맥실러
Crispin,하솔
Cross Switcher,크로스 스위처
Crossceiver,크로스 시버
Crushing Gloves,브레이크글러브
Crushing Hammer,크래시 해머
Crystal Beach,크리스탈 비치
Crystal Cave,결정동굴
Crystal Edge,크리스털 에지
Crystal Shard,크리스탈 조각
Crystal Wall,크리스털 월
Curse Powder,
Cursed Duster,저주의 먼지떨이
Cursed Shovel,저주의삽
Cursed Stone,저주의돌
Custom Catcher,커스텀 캐처
Cycling Road,사이클링 로드
Cyllene,금경
Cynthia,난천
Cynthia & Caitlin,난천&카틀레야
Cynthia's Ambition,난천의 패기
Cynthia's Feelings,난천의 생각
Cynthia's Guidance,난천의 인도
Cynthia's Power Weight,난천의 파워웨이트
Cyrano,시아노
Cyrus,태홍
Cyrus ◇,태홍 ◇
Cyrus's Conspiracy,
Cyrus's Initiative,
Daisy's Help,남나리의 도움
Damage Mover,데미지 무버
Damage Pump,데미지 펌프
Dan,댄
Dana,라쥬르네
Dancer,댄서
Dangerous Drill,데인저러스 드릴
Dangerous Laser,데인저러스 광선
Dark Bell,다크벨
Dark City,
Dark Claw,악의발톱
Dark Patch,다크패치
Dark Pendant,다크펜던트
Darkness Cube 01,
Dashing Pouch,대시파우치
Dawn,빛나
Dawn Stadium,새벽의 스타디움
Deduction Kit,추리세트
Defender,디펜더
Defiance Band,오기머리띠
Defiance Vest,오기조끼
Delinquent,무서운 아가씨
Delivery Drone,딜리버리드론
Deluxe Bomb,디럭스봄
Dendra,운향
Department Store Girl,
Desert Ruins,사막유적
Desert Shaman,
Devolution Spray,퇴화 스프레이
Devolution Spray Z,퇴화 스프레이Z
Devoured Field,잠식된 벌판
Diantha,카르네
Digger,
Digging Duo,구멍파기형제
Digging Gloves,구멍파기글러브
Dimension Valley,차원의 계곡
Dive Ball,다이브볼
Dizzying Valley,현기증계곡
Doctor,의사
Dome Fossil,껍질화석
Dome Fossil Kabuto,껍질화석 투구
Double Full Heal,
Double Gust,
Dowsing Machine,다우징머신
Dragon Elixir,용의 비약
Dragon Talon,용의 갈고리발톱
Dragonium Z: Dragon Claw,
Drake's Stadium,
Drasna,드라세나
Drayton,제빈
Dream Ball,드림볼
Drone Rotom,드론로토무
Dual Ball,
Dusk Ball,다크볼
Dusk Stone,어둠의돌
Dust Island,더스트 아일랜드
Dyna Tree Hill,다이맥스나무 언덕
Ear-Ringing Bell,
Earthen Seal Stone,대지의 봉인석
Earthen Vessel,대지의 그릇
Echoing Horn,메아리호른
Eco Arm,에코암
Ecogym,
Eevee Bag,이브이 가방
Egg Incubator,무한 부화장치
Electric Generator,일렉트릭 제너레이터
Electric Memory,일렉트릭메모리
Electrical Cord,일렉트릭코드
Electrocharger,
Electromagnetic Radar,
Electropower,일렉트릭파워
Elemental Badge,엘리멘탈 배지
Elemental Switch,엘리멘탈 갈아 달기
Elesa,카밀레
Elesa's Sparkle,카밀레의 반짝임
Emcee's Chatter,
Emcee's Hype,
Emergency Jelly,긴급젤리
Emma,마티에르
Eneporter,
Energy Amplifier,
Energy Ark,
Energy Charge,
Energy Coin,에너지 동전
Energy Exchanger,
Energy Flow,
Energy Link,
Energy Loto,에너지뽑기
Energy Pickup,
Energy Pouch,
Energy Recycle System,
Energy Recycler,에너지 리사이클
Energy Removal,
Energy Removal 2,
Energy Reset,
Energy Restore,에너지 재생
Energy Retrieval,에너지 회수
Energy Returner,
Energy Root,힘의뿌리
Energy Search,에너지 전송
Energy Search Pro,
Energy Spinner,에너지 스피너
Energy Stadium,
Energy Sticker,에너지 스티커
Energy Swatter,에너지탁치기
Energy Switch,에너지 갈아 달기
Engineer's Adjustments,
Enhanced Hammer,개조해머
Eri,비파
Erika,민화
Erika’s Hospitality,민화의 대접
Erika's Invitation,민화의 초대
Erika's Kindness,
Erika's Maids,
Erika's Perfume,
Escape Board,이스케이프 보드
Escape Rope,동굴탈출로프
Ethan's Adventure,심향의 모험
Ether,PP에이드
Evelyn,르수아르
Eviolite,진화의휘석
Evolution Incense,진화향로
Evosoda,진화사이다
EXP. ALL,
Exp. Share,학습장치
EXP.ALL,학습장치
Expedition Uniform,서바이벌세트
Expert Belt,달인의띠
Explorer's Guidance,탐험가의 선도
Faba,자우보
Faded Town,
Fairy Charm Ability,페어리참 특성
Fairy Charm Dragon,페어리참 드래곤
Fairy Charm Fighting,페어리참 격투
Fairy Charm Grass,페어리참 풀
Fairy Charm Lightning,페어리참 번개
Fairy Charm Psychic,페어리참 초
Fairy Charm UB,페어리참 UB
Fairy Drop,페어리드롭
Fairy Garden,페어리가든
Falkner,비상
Familiar Bell,닮은벨
Fan of Waves,너울의 부채
Fantina,멜리사
Farewell Bell,흔적의 큰방울
Fast Ball,스피드볼
Feather Ball,페더볼
Felicity's Drawing,
Fennel,주리
Fervor,
Festival Grounds,축제회장
Field Blower,필드블로어
Fieldworker,
Fiery Flint,
Fiery Torch,
Fighting Au Lait,파이팅오레
Fighting Cube 01,
Fighting Fury Belt,
Fighting Gong,파이팅공
Fighting Memory,파이팅메모리
Fighting Stadium,
Fire Crystal,
Fire Cube 01,
Fire Memory,파이어메모리
Fire-Resistant Gloves,내화글러브
Firebreather,불놀이꾼
First Ticket,
Fisher,낚시꾼
Fisherman,낚시꾼
Fishing Net,물고기네트
Flame Patch,플레임패치
Flannery,민지
Flint's Willpower,
Float Stone,가벼운돌
Floral Crown,
Flower Shop Lady,
Fluffy Berry,
Flyinium Z: Air Slash,비행Z 에어슬래시
Focus Band,기합의머리띠
Focus Sash,기합의띠
Fog Crystal,안개의 수정
Forest Guardian,
